DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2011-01-09	21182207	Salyakina D	2010-12-01	Autism Res	www.ncbi.nlm.nih.gov/pubmed/21182207	Variants in several genomic regions associated with asperger disorder.	Asperger disorder	848 individuals from 232 families	NA	3p14.2	3	60304113	FHIT	FHIT			ENSG00000189283			rs10510837-?	rs10510837	0	10510837	intron_variant	0	0.12	4E-6	5.3979400086720375				Illumina [439282] (imputed)	N	Asperger syndrome	http://www.ebi.ac.uk/efo/EFO_0003757	GCST000904	Genome-wide genotyping array
2011-01-09	21182207	Salyakina D	2010-12-01	Autism Res	www.ncbi.nlm.nih.gov/pubmed/21182207	Variants in several genomic regions associated with asperger disorder.	Asperger disorder	848 individuals from 232 families	NA	5q15	5	98553032	RGMB	MTCO1P24 - CTBP2P4	ENSG00000249448	ENSG00000251102		141240	23309	rs4703129-?	rs4703129	0	4703129	intergenic_variant	1	0.41	1E-6	6.0				Illumina [439282] (imputed)	N	Asperger syndrome	http://www.ebi.ac.uk/efo/EFO_0003757	GCST000904	Genome-wide genotyping array
2011-01-09	21182207	Salyakina D	2010-12-01	Autism Res	www.ncbi.nlm.nih.gov/pubmed/21182207	Variants in several genomic regions associated with asperger disorder.	Asperger disorder	848 individuals from 232 families	NA	11q25	11	131450176	NTM	NTM			ENSG00000182667			rs1550976-?	rs1550976	0	1550976	intron_variant	0	0.33	2E-6	5.698970004336019				Illumina [439282] (imputed)	N	Asperger syndrome	http://www.ebi.ac.uk/efo/EFO_0003757	GCST000904	Genome-wide genotyping array
2011-01-09	21182207	Salyakina D	2010-12-01	Autism Res	www.ncbi.nlm.nih.gov/pubmed/21182207	Variants in several genomic regions associated with asperger disorder.	Asperger disorder	848 individuals from 232 families	NA	15q22.1	15	58882340	RNF111, SLTM	SLTM, RNF111			ENSG00000137776, ENSG00000157450			rs7179456-?	rs7179456	0	7179456	intron_variant	0	0.39	7E-6	5.154901959985743				Illumina [439282] (imputed)	N	Asperger syndrome	http://www.ebi.ac.uk/efo/EFO_0003757	GCST000904	Genome-wide genotyping array
2011-01-09	21182207	Salyakina D	2010-12-01	Autism Res	www.ncbi.nlm.nih.gov/pubmed/21182207	Variants in several genomic regions associated with asperger disorder.	Asperger disorder	848 individuals from 232 families	NA	19q13.2	19	38422124	ODF3L2	RASGRP4			ENSG00000171777			rs892055-?	rs892055	0	892055	missense_variant	0	0.33	5E-6	5.301029995663981				Illumina [439282] (imputed)	N	Asperger syndrome	http://www.ebi.ac.uk/efo/EFO_0003757	GCST000904	Genome-wide genotyping array
2009-10-23	19812673	Weiss LA	2009-10-08	Nature	www.ncbi.nlm.nih.gov/pubmed/19812673	A genome-wide linkage and association scan reveals novel loci for autism.	Autism	1,553 cases from 1,031 families	2,073 trios	5p15.31	5	9623510	SEMA5A, TAS2R1	AC026787.1			ENSG00000248525			rs10513025-?	rs10513025	0	10513025	non_coding_transcript_exon_variant	0	NR	2E-7	6.698970004336019		1.81	[NR]	Affymetrix [~ 365000]	N	autism	http://www.ebi.ac.uk/efo/EFO_0003758	GCST000496	Genome-wide genotyping array
2009-10-23	19812673	Weiss LA	2009-10-08	Nature	www.ncbi.nlm.nih.gov/pubmed/19812673	A genome-wide linkage and association scan reveals novel loci for autism.	Autism	1,553 cases from 1,031 families	2,073 trios	5q13.3	5	77121217	NR	ZBED3-AS1, AC008581.2, AC022414.1			ENSG00000250802, ENSG00000285000, ENSG00000284762			rs6453278-?	rs6453278	0	6453278	intron_variant	0	NR	5E-6	5.301029995663981		1.25	[NR]	Affymetrix [~ 365000]	N	autism	http://www.ebi.ac.uk/efo/EFO_0003758	GCST000496	Genome-wide genotyping array
2009-06-10	19456320	Ma D	2009-05-28	Ann Hum Genet	www.ncbi.nlm.nih.gov/pubmed/19456320	A genome-wide association study of autism reveals a common novel risk locus at 5p14.1.	Autism	1,390 European ancestry individuals from 438 families	2,390 European ancestry individuals from 457 families	5p14.1	5	25902233	intergenic	AC022418.1 - MSNP1	ENSG00000279869	ENSG00000251593		185518	7270	rs10038113-T	rs10038113	0	10038113	intergenic_variant	1	0.59	3E-6	5.522878745280337		1.33	[1.11-1.43]	Illumina [775311]	N	autism	http://www.ebi.ac.uk/efo/EFO_0003758	GCST000411	Genome-wide genotyping array
2015-06-18	25534755	Chaste P	2014-09-30	Biol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/25534755	A genome-wide association study of autism using the Simons Simplex Collection: Does reducing phenotypic heterogeneity in autism increase genetic homogeneity?	Autism spectrum disorder-related traits	1633 European ancestry trios, 942 trios	NA	13q33.3	13	109501681	intergenic	LINC00399 - LINC00676	ENSG00000229792	ENSG00000234854		100040	226601	rs4773054-?	rs4773054	0	4773054	intergenic_variant	1	NR	7E-8	7.154901959985743	(Autism paternal model)	2.9	[1.91-4.39]	Illumina [up to 2017939]	N	autism	http://www.ebi.ac.uk/efo/EFO_0003758	GCST002639	Genome-wide genotyping array
2014-07-23	24189344	Xia K	2013-11-05	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/24189344	Common genetic variants on 1p13.2 associate with risk of autism.	Autism	275 Chinese ancestry cases and 550 Chinese ancestry controls from 275 trios, 136 Chinese ancestry cases, 984 Chinese ancestry controls	1,299 European ancestry cases and 2,598 European ancestry controls from 1,299 trios	1p13.2	1;1	114716978;114697195	AMPD1, NRAS, CASDE1	CSDE1; AMPD1 - RN7SL432P						rs8453-G; rs926938-A	rs8453; rs926938	0		3_prime_UTR_variant; intergenic_variant		0.481	3E-8	7.522878745280337				Illumina [702234] (imputed)	N	autism	http://www.ebi.ac.uk/efo/EFO_0003758	GCST002268	Genome-wide genotyping array
